timestamp,source,emotion,video_filename
2025-07-01T09:04:15.851300,video,HAPPY,happy.mp4
2025-07-01T09:04:15.921561,video,HAPPY,happy.mp4
2025-07-01T09:04:15.991771,video,HAPPY,happy.mp4
2025-07-01T09:04:16.061443,video,HAPPY,happy.mp4
2025-07-01T09:04:16.132951,video,HAPPY,happy.mp4
2025-07-01T09:04:16.203753,video,HAPPY,happy.mp4
2025-07-01T09:04:16.275615,video,HAPPY,happy.mp4
2025-07-01T09:04:16.379592,video,HAPPY,happy.mp4
2025-07-01T09:04:16.379592,video,NEUTRAL,happy.mp4
2025-07-01T09:04:16.481426,video,HAPPY,happy.mp4
2025-07-01T09:04:16.481426,video,NEUTRAL,happy.mp4
2025-07-01T09:04:16.554530,video,HAPPY,happy.mp4
2025-07-01T09:04:16.627018,video,HAPPY,happy.mp4
2025-07-01T09:04:16.696866,video,HAPPY,happy.mp4
2025-07-01T09:04:16.766939,video,HAPPY,happy.mp4
2025-07-01T09:04:16.838706,video,HAPPY,happy.mp4
2025-07-01T09:04:16.910030,video,HAPPY,happy.mp4
2025-07-01T09:04:16.982271,video,HAPPY,happy.mp4
2025-07-01T09:04:17.052866,video,HAPPY,happy.mp4
2025-07-01T09:04:17.126127,video,HAPPY,happy.mp4
2025-07-01T09:04:17.198299,video,HAPPY,happy.mp4
2025-07-01T09:04:17.270327,video,HAPPY,happy.mp4
2025-07-01T09:04:17.343011,video,HAPPY,happy.mp4
2025-07-01T09:04:17.413480,video,HAPPY,happy.mp4
2025-07-01T09:04:17.486319,video,HAPPY,happy.mp4
2025-07-01T09:04:17.554828,video,HAPPY,happy.mp4
2025-07-01T09:04:17.626829,video,HAPPY,happy.mp4
2025-07-01T09:04:17.699058,video,HAPPY,happy.mp4
2025-07-01T09:04:17.798187,video,HAPPY,happy.mp4
2025-07-01T09:04:17.798187,video,NEUTRAL,happy.mp4
2025-07-01T09:04:17.870548,video,HAPPY,happy.mp4
2025-07-01T09:04:17.973119,video,HAPPY,happy.mp4
2025-07-01T09:04:17.973119,video,NEUTRAL,happy.mp4
2025-07-01T09:04:18.042412,video,HAPPY,happy.mp4
2025-07-01T09:04:18.113205,video,HAPPY,happy.mp4
2025-07-01T09:04:18.183539,video,HAPPY,happy.mp4
2025-07-01T09:04:18.283800,video,HAPPY,happy.mp4
2025-07-01T09:04:18.283800,video,NEUTRAL,happy.mp4
2025-07-01T09:04:18.353460,video,HAPPY,happy.mp4
2025-07-01T09:04:18.423210,video,HAPPY,happy.mp4
2025-07-01T09:04:18.492361,video,HAPPY,happy.mp4
2025-07-01T09:04:18.563809,video,HAPPY,happy.mp4
2025-07-01T09:04:18.635319,video,HAPPY,happy.mp4
2025-07-01T09:04:18.706462,video,HAPPY,happy.mp4
2025-07-01T09:04:18.783032,video,HAPPY,happy.mp4
2025-07-01T09:04:18.852762,video,HAPPY,happy.mp4
2025-07-01T09:04:18.923855,video,HAPPY,happy.mp4
2025-07-01T09:04:18.997947,video,HAPPY,happy.mp4
2025-07-01T09:04:19.069894,video,HAPPY,happy.mp4
2025-07-01T09:04:19.141979,video,HAPPY,happy.mp4
2025-07-01T09:04:19.212428,video,HAPPY,happy.mp4
2025-07-01T09:04:19.283706,video,HAPPY,happy.mp4
2025-07-01T09:04:19.354401,video,HAPPY,happy.mp4
2025-07-01T09:04:19.425942,video,HAPPY,happy.mp4
2025-07-01T09:04:19.496673,video,HAPPY,happy.mp4
2025-07-01T09:04:19.568371,video,HAPPY,happy.mp4
2025-07-01T09:04:32.783994,video,ANGRY,angry.mp4
2025-07-01T09:04:32.885179,video,ANGRY,angry.mp4
2025-07-01T09:04:32.885179,video,NEUTRAL,angry.mp4
2025-07-01T09:04:32.992236,video,ANGRY,angry.mp4
2025-07-01T09:04:32.992236,video,NEUTRAL,angry.mp4
2025-07-01T09:04:33.100395,video,ANGRY,angry.mp4
2025-07-01T09:04:33.100395,video,NEUTRAL,angry.mp4
2025-07-01T09:04:33.299006,video,ANGRY,angry.mp4
2025-07-01T09:04:33.299006,video,HAPPY,angry.mp4
2025-07-01T09:04:33.299006,video,NEUTRAL,angry.mp4
2025-07-01T09:04:33.299006,video,NEUTRAL,angry.mp4
2025-07-01T09:04:33.299006,video,NEUTRAL,angry.mp4
2025-07-01T09:04:33.437580,video,ANGRY,angry.mp4
2025-07-01T09:04:33.437580,video,NEUTRAL,angry.mp4
2025-07-01T09:04:33.437580,video,NEUTRAL,angry.mp4
2025-07-01T09:04:33.575209,video,ANGRY,angry.mp4
2025-07-01T09:04:33.575209,video,HAPPY,angry.mp4
2025-07-01T09:04:33.575209,video,NEUTRAL,angry.mp4
2025-07-01T09:04:33.682213,video,ANGRY,angry.mp4
2025-07-01T09:04:33.682213,video,NEUTRAL,angry.mp4
2025-07-01T09:04:33.795040,video,ANGRY,angry.mp4
2025-07-01T09:04:33.795040,video,NEUTRAL,angry.mp4
2025-07-01T09:04:33.907801,video,ANGRY,angry.mp4
2025-07-01T09:04:33.907801,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.019587,video,ANGRY,angry.mp4
2025-07-01T09:04:34.019587,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.128556,video,ANGRY,angry.mp4
2025-07-01T09:04:34.128556,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.239119,video,ANGRY,angry.mp4
2025-07-01T09:04:34.239119,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.349917,video,ANGRY,angry.mp4
2025-07-01T09:04:34.349917,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.459532,video,ANGRY,angry.mp4
2025-07-01T09:04:34.459532,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.572380,video,ANGRY,angry.mp4
2025-07-01T09:04:34.572380,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.715069,video,ANGRY,angry.mp4
2025-07-01T09:04:34.715069,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.715069,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.866527,video,ANGRY,angry.mp4
2025-07-01T09:04:34.866527,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.866527,video,NEUTRAL,angry.mp4
2025-07-01T09:04:34.981966,video,ANGRY,angry.mp4
2025-07-01T09:04:34.981966,video,NEUTRAL,angry.mp4
2025-07-01T09:04:35.068776,video,ANGRY,angry.mp4
2025-07-01T09:04:35.215448,video,NEUTRAL,angry.mp4
2025-07-01T09:04:35.215448,video,ANGRY,angry.mp4
2025-07-01T09:04:35.215448,video,NEUTRAL,angry.mp4
2025-07-01T09:04:35.295801,video,ANGRY,angry.mp4
2025-07-01T09:04:35.410897,video,NEUTRAL,angry.mp4
2025-07-01T09:04:35.410897,video,ANGRY,angry.mp4
